geneSymbol,numVariantes
ATP6V0D2,5
TLR4,5
COL5A1,5
C10orf53,5
KCNMA1,5
MRVI1,5
PTPRJ,5
MPEG1,5
SENP1,5
AMHR2,5
ACTC1,5
PLA2G4E,5
FAM174B,5
UBE2I,5
PDXDC1,5
LRRC36,5
MYH4,5
ABCA7,5
ZNF676,5
SIGLEC11,5
SEC14L4,5
CSF2RB,5
TRIOBP,5
FBLN1,5
MLC1,5
SPANXN1,5
PRKACB,5
EPB41L5,5
STOX2,5
CCDC73,5
RP11-443N24.2,5
ABTB3,5
PIGN,5
ZIM2,5
GPBP1L1,5
ADAMTS14,5
APOPT1,5
CD93,5
CEP104,5
SPATA6,5
SLC4A8,5
TUSC5,5
SUPT6H,5
CBX4,5
VWA1,5
TP73,5
RAB3B,5
JAK1,5
ELMOD3,5
MLPH,5
GRM7,5
ATP13A4,5
ZNF595,5
PKD2,5
FREM3,5
HLA-H,5
C6orf132,5
NUS1,5
TNS3,5
CDHR3,5
TPK1,5
PRKAG2,5
APBA1,5
NUP214,5
FLT1,5
ZFYVE26,5
ACSM2B,5
RNF166,5
UBTF,5
SCN1B,5
ACTN4,5
CYP2B6,5
HUNK,5
RCAN1,5
APOBEC3D,5
AFF2,5
MSTO1,5
PLSCR4,5
CYP21A2,5
PSD3,5
KRTAP5-10,5
RSF1,5
KIAA1731,5
VSTM5,5
PANX1,5
ATN1,5
FGD6,5
AMER2,5
IGHV3-66,5
KRTAP4-7,5
EIF1,5
REEP6,5
RALGAPA2,5
KB-7G2.8,5
LIF,5
DCX,5
PLXNB3,5
GRIK3,5
KIF15,5
ZFP42,5
NPR3,5
FSTL4,5
GABRG2,5
SPECC1,5
DCC,5
MEF2B,5
TSHZ3,5
ELFN2,5
HUWE1,5
AC018865.5,5
CRB2,5
PARP11,5
DTD2,5
SIN3A,5
SCN4A,5
PIK3C3,5
RNF152,5
SIPA1L3,5
DCAF4L1,5
PRRC1,5
VSTM2A,5
SPTBN2,5
IGLON5,5
FAM212B,5
SNX27,5
DYNC1LI1,5
FASTKD3,5
DDX41,5
GRIK2,5
PIP4K2A,5
UFM1,5
RTTN,5
NANP,5
LUZP1,5
OSBPL9,5
NUP210L,5
OR2T2,5
WIPF1,5
HHIP,5
MOG,5
BCKDHB,5
RELN,5
VIPR2,5
PTK2,5
FREM1,5
ANKRD18B,5
CD151,5
CHST11,5
MYO16,5
OSGEP,5
TRAV8-4,5
FBXO33,5
SULT1A1,5
ZNF791,5
CYP4F2,5
NCAN,5
KIF3B,5
SLC17A9,5
DIP2A,5
PHEX,5
KIF1B,5
HSPG2,5
HTR1D,5
TYW3,5
GBP6,5
RORC,5
PVRL4,5
C1orf105,5
TPR,5
MYT1L,5
SOS1,5
CCDC85A,5
10-Sep,5
SMPD4,5
CYTIP,5
BAZ2B,5
MYO3B,5
TNS1,5
SLC6A6,5
KCNH8,5
SCN10A,5
CACNA2D2,5
MAGI1,5
PTPLB,5
COL6A5,5
EIF4G1,5
UGT2B15,5
PRDM5,5
SLC7A11,5
FAM160A1,5
FGA,5
THBS4,5
EPB41L4A,5
GRPEL2,5
PHACTR1,5
ITPR3,5
FAM46A,5
ROS1,5
RNF216,5
DNAH11,5
TNRC18P2,5
FAM115C,5
ESYT2,5
CNOT7,5
LRRC69,5
INTS8,5
CELF2,5
NEBL,5
DLG5,5
PNLIPRP1,5
PDDC1,5
DSCAML1,5
WNK1,5
VWF,5
PRB3,5
LRP1,5
MKRN9P,5
CAMKK2,5
MTUS2,5
TPP2,5
SLC10A2,5
UNC79,5
DYNC1H1,5
CAPN3,5
MAP1A,5
ACAN,5
TVP23C,5
DDX52,5
TTLL6,5
ABCA8,5
SDK2,5
TMC6,5
LPIN2,5
GREB1L,5
TNPO2,5
TMEM147,5
GLTSCR2,5
LIG1,5
MYH14,5
TGM6,5
NAA20,5
C20orf26,5
KIAA1755,5
YWHAB,5
NCOA3,5
TRPM2,5
TXNRD2,5
MKL1,5
CYP2D6,5
TTLL12,5
C3orf14,5
AP1S2,5
L1TD1,5
RC3H1,5
ACYP2,5
ADAMTS9,5
UBR5,5
OXR1,5
NXPE2,5
SCYL2,5
RFC5,5
SLC12A4,5
PTGR3,5
BRWD3,5
NAA38,5
DNAJB6,5
STAU2,5
CD44,5
FBXW10,5
ZNF91,5
SHKBP1,5
SYNGR1,5
MCC,5
SIRT5,5
ITSN1,5
C1orf168,5
MAP4K4,5
XRCC5,5
PIK3CA,5
FRYL,5
MGST1,5
ITPR2,5
FSD2,5
ZNF418,5
DPYSL5,5
ZNF841,5
MR1,5
WSCD2,5
PLEKHG1,5
FRMD1,5
RNF20,5
SLC9A8,5
CARD10,5
HAUS2,5
MYH11,5
6-Sep,5
USP31,5
NFATC3,5
MGAT3,5
F5,5
LHX9,5
ITPKB,5
LTBP1,5
RPL31,5
USP19,5
ITIH1,5
CCNG2,5
SHROOM1,5
BTNL9,5
ORC3,5
PDCD2,5
NAPEPLD,5
ZNF252P,5
PAPPA,5
ZNF248,5
RXFP2,5
ZC3H13,5
PARP2,5
LRRC16B,5
TMEM241,5
WDR7,5
ASXL1,5
IFNGR2,5
GTPBP1,5
IRS4,5
C1orf159,5
ANKRD65,5
PDPN,5
HSPB7,5
EMC1,5
RCAN3,5
RIMS3,5
AMPD2,5
MEF2D,5
ARID4B,5
C1orf101,5
COX20,5
LPIN1,5
FOSL2,5
EHD3,5
EXOC6B,5
POLR1A,5
SMYD1,5
DBI,5
MAP3K2,5
WDR33,5
ARHGEF4,5
SSB,5
RPL37A,5
NDUFA10,5
SLC26A6,5
IP6K2,5
OR5H6,5
ABI3BP,5
NFKBIZ,5
PARP15,5
CP,5
SMC4,5
ETV5,5
DGKG,5
RNF168,5
PDE6B,5
FGFRL1,5
RAB33B,5
GAB1,5
DCTD,5
SGTB,5
ZCCHC9,5
PCSK1,5
PJA2,5
SLC22A4,5
YIPF5,5
G3BP1,5
SERPINB6,5
MBOAT1,5
HCG27,5
CPNE5,5
PAQR8,5
AK9,5
AP5Z1,5
CBX3,5
MLXIPL,5
POM121C,5
GNAI1,5
ZNF804B,5
CASD1,5
IFRD1,5
CAV2,5
CDK5,5
TNKS,5
BIN3,5
ANK1,5
FABP4,5
POP1,5
RAD21,5
MOB3B,5
C9orf41,5
DNAJC25,5
DENND1A,5
SH2D3C,5
TOR1A,5
PPP1R26,5
C8G,5
RSU1,5
STAM,5
CTNNA3,5
NUDT13,5
CCKBR,5
NCR3LG1,5
QSER1,5
ACP2,5
FERMT3,5
CTD-2313N18.8,5
HYOU1,5
ARHGEF12,5
SRPR,5
LINC00940,5
TSPAN9,5
C12orf4,5
KIAA1551,5
CSAD,5
OR9K2,5
OR6C74,5
CNOT2,5
TMEM19,5
C12orf55,5
ACACB,5
SPPL3,5
P2RX7,5
KNTC1,5
RP11-408E5.4,5
THSD1,5
VPS36,5
RIPK3,5
ZFYVE1,5
GSTZ1,5
NRDE2,5
IGHV4-28,5
OR4N4,5
KATNBL1,5
SPATA5L1,5
CSNK1G1,5
MEGF11,5
RGS11,5
CCDC154,5
EMP2,5
ADCY7,5
SLC12A3,5
KCTD19,5
TPPP3,5
PLA2G15,5
GINS2,5
CDH15,5
RPA1,5
